Couname,PH3COUNTRY,PH2Country,industry,org,uniorg,ceocode,entrepre,promoted,link,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119
23,Azerbaijan                                                                 ,31,NA,332,12,31012,1,1,2,310121,5,5,6,6,6,6,6,4,6,7,6,6,1,5,5,7,4,6,6,3,5,6,1,6,7,6,1,1,6,7,4,6,1,1,2,6,6,1,6,4,6,4,6,2,6,7,6,7,1,5,6,7,7,7,6,7,2,7,1,7,6,1,4,6,4,6,5,6,5,1,6,4,6,4,7,7,4,7,6,5,4,6,4,6,6,4,6,7,6,6,1,6,6,6,6,2,6,6,6,6,6,6,1,6,5,6,7,6,2,2,1,6,6,2,36,1,10,2,3
24,Azerbaijan                                                                 ,31,NA,332,12,31012,2,1,2,310122,5,6,5,6,5,6,5,4,7,6,6,7,2,7,5,6,5,6,5,3,6,5,2,5,6,6,1,2,7,6,5,6,1,2,3,4,5,2,5,3,4,4,5,2,5,7,5,6,2,6,6,7,6,6,5,5,4,5,1,6,5,1,5,7,3,5,6,5,6,2,5,3,5,6,6,7,5,7,5,5,6,4,5,5,6,3,5,5,7,6,4,5,7,5,5,4,6,6,5,6,5,6,2,5,6,7,6,6,2,1,2,5,5,1,34,1,15,2,3
25,Azerbaijan                                                                 ,31,NA,511,13,31013,1,2,1,310131,6,6,5,5,6,6,5,2,5,5,5,6,3,5,5,5,4,5,6,4,5,5,4,5,5,5,2,3,5,5,5,5,2,2,5,4,5,5,5,5,5,5,5,4,5,5,5,5,2,5,6,5,5,5,4,5,5,5,2,5,5,1,2,6,5,5,6,5,5,4,5,1,5,6,5,5,2,6,5,5,5,5,1,6,4,5,5,4,7,5,5,6,5,5,5,4,5,5,6,6,7,6,6,6,4,5,6,5,6,6,5,7,5,14,29,1,7,1,3
26,Azerbaijan                                                                 ,31,NA,511,13,31013,2,2,1,310132,5,6,5,6,7,6,7,3,6,7,6,6,2,7,6,5,6,7,7,4,5,5,3,5,5,7,2,4,6,5,7,6,2,2,5,3,6,5,5,4,5,6,5,4,6,5,5,5,2,6,5,5,5,4,6,5,6,5,3,5,6,3,3,5,5,6,5,5,5,4,5,3,5,5,5,5,2,5,5,5,4,5,2,5,4,5,6,4,6,5,5,4,4,4,4,4,5,7,6,5,6,7,5,6,5,6,6,7,5,6,6,6,6,5,27,1,5,1,3
27,Azerbaijan                                                                 ,31,NA,511,14,31014,1,2,1,310141,6,6,6,5,6,5,5,1,5,6,5,6,4,7,5,6,5,5,6,6,5,6,2,6,5,6,1,1,5,5,5,3,1,2,4,5,5,4,5,5,5,4,5,5,5,6,5,6,4,5,6,5,6,6,6,6,7,7,1,5,4,2,5,7,5,6,5,6,6,5,5,6,6,5,6,5,1,6,6,4,6,5,5,5,5,6,6,5,5,5,5,5,5,5,5,3,7,5,5,6,5,6,3,5,6,7,7,7,1,1,1,7,7,5,46,1,25,3,3
28,Azerbaijan                                                                 ,31,NA,511,14,31014,2,2,1,310142,6,6,5,5,5,5,7,1,5,5,5,6,1,7,5,5,5,5,7,4,5,5,1,4,5,7,1,2,6,5,5,1,1,1,4,4,6,5,5,5,5,5,4,4,6,6,5,5,3,6,6,7,6,6,6,5,6,6,1,5,4,1,2,6,4,6,5,6,5,6,6,5,6,7,7,6,3,5,6,3,5,4,4,5,5,5,5,4,4,4,3,5,4,4,5,5,6,7,5,6,7,6,3,5,6,7,6,7,1,1,3,7,7,4,36,2,20,3,3
29,Azerbaijan                                                                 ,31,NA,443,15,31015,1,2,1,310151,5,6,6,6,5,6,6,3,5,7,4,4,2,7,6,6,4,4,6,5,4,4,4,4,5,6,3,4,5,5,6,3,3,2,5,5,5,6,6,5,6,5,4,5,5,5,6,5,2,5,6,6,5,5,5,5,6,5,3,5,5,3,3,5,7,5,6,4,5,3,5,3,5,6,5,5,2,5,5,6,4,4,1,6,2,5,5,4,6,4,7,5,5,4,6,4,7,5,4,5,4,5,5,5,5,7,6,5,1,2,3,6,6,5,37,1,15,2,3
30,Azerbaijan                                                                 ,31,NA,443,15,31015,2,2,1,310152,6,6,5,6,5,5,7,1,5,5,5,5,3,7,5,5,5,5,6,6,5,5,1,5,6,7,3,5,5,5,5,2,1,3,4,4,6,5,5,5,6,6,5,4,5,6,6,7,1,6,7,7,6,4,6,4,7,4,4,4,5,2,2,5,6,4,7,5,4,2,5,4,6,7,7,5,1,5,5,5,5,4,1,5,4,5,5,4,6,4,4,6,4,4,4,3,6,7,5,5,5,5,5,5,5,6,5,6,1,2,3,7,7,6,31,1,10,2,3
31,Azerbaijan                                                                 ,31,NA,492,16,31016,1,1,2,310161,5,5,7,5,5,6,7,4,6,7,6,6,3,6,4,7,4,6,6,4,6,6,1,6,5,5,1,1,5,7,4,6,1,3,2,5,6,2,5,4,6,4,6,1,7,7,6,6,1,5,5,5,7,7,6,7,2,7,2,7,6,1,4,6,4,6,5,6,5,1,7,4,6,4,7,7,4,7,5,5,4,6,4,6,6,4,6,7,6,6,2,6,6,6,6,2,6,6,6,6,5,4,1,4,6,6,7,7,4,4,2,6,7,5,36,1,12,1,2
32,Azerbaijan                                                                 ,31,NA,492,16,31016,2,1,2,310162,5,6,5,5,6,6,6,3,5,6,5,5,2,6,5,6,4,5,5,3,5,5,3,7,5,7,1,1,7,7,3,7,2,2,2,6,7,3,6,4,5,4,5,3,5,7,7,6,1,6,7,6,7,6,7,7,3,6,1,7,7,1,5,7,3,5,6,5,5,2,6,3,5,6,6,7,5,6,5,4,5,7,3,5,6,4,5,5,6,5,4,6,5,5,6,3,6,6,5,6,5,4,1,4,6,7,6,7,6,5,2,6,6,7,29,1,7,1,2
33,Azerbaijan                                                                 ,31,NA,541,17,31017,1,1,2,310171,5,5,5,4,5,5,5,1,6,5,5,5,1,4,5,6,5,5,6,5,4,5,5,5,6,5,3,5,6,5,6,5,3,3,6,5,5,2,4,6,5,5,5,3,5,5,5,5,1,5,5,3,5,5,5,5,5,5,3,5,6,5,4,5,6,5,6,4,4,3,5,2,4,7,5,5,3,5,5,6,5,5,1,5,4,5,5,4,5,5,6,5,5,5,5,3,5,6,5,5,5,5,5,4,5,5,5,6,1,2,4,6,5,2,44,1,10,1,3
34,Azerbaijan                                                                 ,31,NA,541,17,31017,2,1,2,310172,5,5,5,5,5,6,6,1,6,5,5,5,2,7,5,5,4,5,5,6,5,5,6,5,5,5,3,4,6,6,7,5,3,2,5,3,6,5,5,4,5,6,5,6,5,5,6,5,3,6,5,4,5,4,5,5,6,5,3,5,6,3,3,5,6,4,6,4,5,4,5,3,5,5,5,5,2,5,5,5,2,4,1,5,4,5,5,5,6,5,5,5,5,5,6,6,5,5,5,5,6,5,5,2,5,5,5,6,1,1,3,6,5,11,35,1,10,1,3
35,Azerbaijan                                                                 ,31,NA,421,18,31018,1,2,1,310181,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,4,5,5,6,5,4,5,5,5,5,4,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,4,5,5,5,5,5,5,4,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,3,5,5,5,5,3,5,5,5,5,5,5,5,5,6,6,6,5,5,5,4,4,5,6,6,6,1,1,1,5,7,1,40,1,25,2,4
36,Azerbaijan                                                                 ,31,NA,421,18,31018,2,2,1,310182,4,4,5,4,4,4,4,5,5,6,6,6,1,6,6,4,2,4,3,7,2,2,7,3,4,5,5,6,5,4,6,2,4,5,7,7,4,5,6,7,2,7,3,7,4,2,5,3,1,4,3,1,4,3,7,4,5,3,6,5,7,3,3,4,7,4,5,4,1,7,4,2,3,7,4,4,4,4,5,6,2,2,1,6,4,6,5,4,4,4,6,4,4,4,4,4,5,5,4,4,4,4,2,2,4,5,5,6,1,1,1,5,5,4,42,1,20,2,4
37,Azerbaijan                                                                 ,31,NA,443,19,31019,1,2,1,310191,5,5,5,5,5,4,5,5,5,5,6,5,1,5,6,5,4,5,5,6,5,4,5,5,5,5,4,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,4,5,5,5,5,5,5,3,5,5,4,3,5,5,5,5,5,5,5,5,3,5,5,5,5,2,5,5,5,5,5,2,6,5,4,6,4,5,5,5,5,5,5,5,5,6,6,6,5,5,5,1,2,4,6,6,5,1,1,1,6,7,6,26,1,8,2,3
38,Azerbaijan                                                                 ,31,NA,443,19,31019,2,2,1,310192,4,4,5,4,4,4,6,5,6,5,6,6,2,5,6,4,3,4,3,7,2,2,7,3,4,5,3,5,5,4,6,4,2,5,7,7,4,5,6,7,3,7,4,6,4,5,5,5,3,4,4,5,4,3,6,5,4,5,3,5,5,2,2,5,6,4,5,5,5,3,3,2,4,5,5,5,2,5,5,5,4,5,2,6,4,4,5,4,5,5,4,5,4,4,4,4,5,6,6,5,5,5,1,2,4,5,6,5,1,1,1,6,7,9,31,1,10,2,3
39,Azerbaijan                                                                 ,31,NA,513,20,31020,1,1,2,310201,5,5,7,6,6,7,7,3,5,6,6,5,2,7,5,7,6,6,6,4,5,6,3,7,6,6,3,3,6,7,6,5,2,1,2,5,7,2,5,4,6,4,6,1,5,6,6,7,1,6,7,6,7,7,6,7,2,6,1,7,6,3,4,6,4,6,5,6,5,1,7,4,6,4,5,7,4,7,6,6,4,5,4,5,6,5,6,6,5,5,5,6,5,6,6,3,6,5,5,6,6,7,3,4,6,6,5,6,1,4,1,5,4,11,45,1,25,3,3
40,Azerbaijan                                                                 ,31,NA,513,20,31020,2,1,2,310202,5,5,6,6,6,7,7,3,5,6,6,5,2,7,5,6,5,6,6,3,6,5,2,7,6,6,2,2,5,6,5,5,1,2,3,4,7,2,5,3,4,4,6,2,5,7,7,6,2,6,6,6,6,6,7,7,3,6,1,7,7,3,5,6,3,5,6,5,6,2,6,3,5,6,6,7,5,6,6,4,6,4,5,5,6,6,7,5,7,6,6,7,7,6,5,4,5,6,5,6,5,6,4,2,6,7,5,5,1,5,1,5,4,14,39,1,20,3,3
41,Azerbaijan                                                                 ,31,NA,421,21,31021,1,1,2,310211,4,5,4,5,4,5,5,5,5,5,6,6,2,6,5,5,4,5,5,6,5,4,5,5,5,5,5,5,5,5,4,4,3,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,4,5,5,5,5,5,5,4,5,5,3,3,5,5,5,6,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,3,5,5,5,5,3,5,5,5,5,5,5,5,5,6,6,6,5,5,4,4,4,5,6,6,5,1,1,3,6,6,1,48,1,25,1,3
42,Azerbaijan                                                                 ,31,NA,421,21,31021,2,1,2,310212,4,4,5,4,4,4,4,5,5,6,6,6,1,6,5,4,2,4,3,7,2,2,7,3,6,5,5,6,5,4,6,2,3,5,7,7,4,5,6,7,2,7,3,7,4,2,5,3,1,4,3,1,4,3,7,4,5,3,4,5,6,3,3,4,7,4,7,4,3,7,4,2,3,7,4,4,4,4,5,6,1,2,1,6,4,6,5,4,4,4,6,4,4,4,4,4,5,4,4,4,4,4,1,2,4,6,6,6,1,1,3,5,5,6,27,1,10,1,3
43,Azerbaijan                                                                 ,31,NA,422,22,31022,1,1,1,310221,3,3,4,5,5,5,6,4,7,7,6,6,2,6,6,5,4,5,6,5,5,4,5,5,5,5,4,5,5,5,5,5,3,4,5,5,5,5,6,5,5,5,5,5,5,4,5,5,1,5,5,4,5,5,6,5,4,4,4,5,5,4,2,5,6,4,5,5,5,5,4,3,5,5,5,5,4,5,6,5,5,5,2,5,5,5,6,1,4,4,4,4,6,5,5,5,6,6,5,6,5,3,5,4,5,6,5,6,1,1,2,4,6,6,34,1,25,1,3
44,Azerbaijan                                                                 ,31,NA,422,22,31022,2,1,1,310222,4,4,5,5,5,5,5,5,5,6,6,6,2,6,6,4,2,4,3,5,2,4,6,3,4,5,5,6,5,4,7,2,4,5,7,7,5,5,6,5,3,5,4,6,4,2,5,4,1,5,5,4,5,4,6,5,5,3,6,6,7,2,3,5,6,5,5,5,2,4,4,2,3,6,4,4,3,5,5,6,2,2,2,6,4,5,5,5,4,4,6,4,4,4,4,4,5,5,4,4,5,4,5,4,6,5,5,6,1,1,1,4,5,7,28,1,20,1,3
45,Azerbaijan                                                                 ,31,NA,511,23,31023,1,2,2,310231,5,5,5,4,4,4,5,3,4,5,5,5,4,7,6,6,3,5,6,2,5,6,2,6,4,6,2,2,4,5,5,3,1,2,2,5,5,4,5,3,5,4,5,2,5,6,5,6,4,5,5,6,6,6,6,6,5,6,2,6,3,2,5,6,3,5,5,6,5,4,5,5,5,5,6,5,2,6,5,2,6,5,5,5,4,6,5,4,5,3,4,5,5,3,5,4,6,5,5,5,6,6,2,4,6,7,6,7,1,1,2,6,7,4,37,1,8,1,3
46,Azerbaijan                                                                 ,31,NA,511,23,31023,2,2,2,310232,5,5,5,5,5,5,6,1,5,5,5,5,2,6,5,5,5,5,5,4,5,5,3,5,5,7,2,2,5,5,5,1,2,2,4,4,5,2,5,4,5,3,4,4,5,6,5,5,5,6,6,7,6,5,5,5,6,6,1,5,4,2,3,6,4,6,5,5,5,6,4,5,5,4,5,5,3,6,6,3,5,5,4,5,5,5,5,4,6,3,3,5,4,4,5,5,6,7,5,6,7,6,2,5,6,7,6,7,1,1,3,6,7,1,34,2,6,1,3
